state,bin_center,dsdo_mbsr,stat_err,syst_half,scale_err_corr,band_pointwise,lo_pointwise,hi_pointwise,scale_lo,scale_hi
ex6.30_5half+,26.25,0.62871,0.332014,0.0070035,0.0754452,0.332088,0.296622,0.960798,0.553265,0.704155
ex6.30_5half+,28.75,0.0248757,0.0352343,2.75e-06,0.00298508,0.0352343,0,0.06011,0.0218906,0.0278608
ex6.30_5half+,31.25,0.0201933,7.33483,2.25e-06,0.0024232,7.33483,0,7.35502,0.0177701,0.0226165
ex6.30_5half+,33.75,0.0168092,413.234,1.9e-06,0.0020171,413.234,0,413.251,0.0147921,0.0188263
ex6.30_5half+,36.25,0.0142779,455.231,1.6e-06,0.00171335,455.231,0,455.245,0.0125646,0.0159912
ex6.30_5half+,38.75,0.0129032,275.345,1.45e-06,0.00154838,275.345,0,275.358,0.0113548,0.0144516
ex_1half+_217,11.25,0.73958,0.340954,0,0.0887496,0.340954,0.398626,1.08053,0.65083,0.82833
ex_1half+_217,13.75,1.61579,0.375233,0,0.193895,0.375233,1.24056,1.99102,1.4219,1.80968
ex_1half+_217,16.25,1.0209,0.292837,0,0.122508,0.292837,0.728063,1.31374,0.898392,1.14341
ex_1half+_217,18.75,0.00132517,0.538461,0,0.00015902,0.538461,0,0.539786,0.00116615,0.00148419
ex_1half+_217,21.25,0.00113075,0.164465,0,0.00013569,0.164465,0,0.165596,0.00099506,0.00126644
ex_1half+_217,23.75,0.341056,0.276645,0,0.0409267,0.276645,0.064411,0.617701,0.300129,0.381983
ex_1half+_217,26.25,0.173284,0.207897,0,0.0207941,0.207897,0,0.381181,0.15249,0.194078
ex_1half+_217,28.75,0.131608,0.216639,0,0.015793,0.216639,0,0.348247,0.115815,0.147401
ex_1half+_217,31.25,0.477147,0.248564,0,0.0572576,0.248564,0.228583,0.725711,0.419889,0.534405
ex_1half+_217,33.75,0.333846,0.24871,0,0.0400615,0.24871,0.085136,0.582556,0.293784,0.373908
ex_1half+_217,36.25,0.47607,0.178735,0,0.0571284,0.178735,0.297335,0.654805,0.418942,0.533198
ex_1half+_217,38.75,0.154633,0.146104,0,0.018556,0.146104,0.008529,0.300737,0.136077,0.173189
ex_5half+_335,11.25,0.00215827,0.57802,0,0.000258992,0.57802,0,0.580178,0.00189928,0.00241726
ex_5half+_335,13.75,0.00177483,0.100149,0,0.00021298,0.100149,0,0.101924,0.00156185,0.00198781
ex_5half+_335,16.25,0.0015374,1.08418,0,0.000184488,1.08418,0,1.08572,0.00135291,0.00172189
ex_5half+_335,18.75,0.116208,0.16511,0,0.013945,0.16511,0,0.281318,0.102263,0.130153
ex_5half+_335,21.25,0.0991702,0.118449,0,0.0119004,0.118449,0,0.217619,0.0872698,0.111071
ex_5half+_335,23.75,0.0293619,0.391854,0,0.00352343,0.391854,0,0.421216,0.0258385,0.0328853
ex_5half+_335,26.25,0.0641808,0.230729,0,0.0077017,0.230729,0,0.29491,0.0564791,0.0718825
ex_5half+_335,28.75,0.188686,0.189366,0,0.0226423,0.189366,0,0.378052,0.166044,0.211328
ex_5half+_335,31.25,0.194207,0.209548,0,0.0233048,0.209548,0,0.403755,0.170902,0.217512
ex_5half+_335,33.75,0.452805,0.222449,0,0.0543366,0.222449,0.230356,0.675254,0.398468,0.507142
ex_5half+_335,36.25,0.438374,0.161605,0,0.0526049,0.161605,0.276769,0.599979,0.385769,0.490979
ex_5half+_335,38.75,0.489421,0.158137,0,0.0587305,0.158137,0.331284,0.647558,0.43069,0.548152
gs_3half+,11.25,0.840903,0.356238,0,0.100908,0.356238,0.484665,1.19714,0.739995,0.941811
gs_3half+,13.75,0.463008,0.277309,0,0.055561,0.277309,0.185699,0.740317,0.407447,0.518569
gs_3half+,16.25,0.167358,0.203771,0,0.020083,0.203771,0,0.371129,0.147275,0.187441
gs_3half+,18.75,0.153079,0.199057,0,0.0183695,0.199057,0,0.352136,0.13471,0.171448
gs_3half+,21.25,0.226973,0.145535,0,0.0272368,0.145535,0.081438,0.372508,0.199736,0.25421
gs_3half+,23.75,0.332294,0.18823,0,0.0398753,0.18823,0.144064,0.520524,0.292419,0.372169
gs_3half+,26.25,0.135285,0.126393,0,0.0162342,0.126393,0.008892,0.261678,0.119051,0.151519
gs_3half+,28.75,0.482038,0.168207,0,0.0578446,0.168207,0.313831,0.650245,0.424193,0.539883
gs_3half+,31.25,0.112876,0.12281,0,0.0135451,0.12281,0,0.235686,0.0993309,0.126421
gs_3half+,33.75,0.323627,0.159742,0,0.0388352,0.159742,0.163885,0.483369,0.284792,0.362462
gs_3half+,36.25,0.189156,0.129198,0,0.0226987,0.129198,0.059958,0.318354,0.166457,0.211855
gs_3half+,38.75,0.0676973,0.101693,0,0.00812368,0.101693,0,0.16939,0.0595736,0.075821
