bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
35,37.5,36.25,gs_3half+,0,0.186211,0.146292,0.769455,0.012101
35,37.5,36.25,ex_1half+_217,0.218,0.476961,0.209782,0.769455,0.012101
35,37.5,36.25,ex_5half+_335,0.35,0.435549,0.192694,0.769455,0.012101
35,37.5,36.25,ex3.661_NEW,3.68855,0.216943,0.324963,0.430733,0.00697582
35,37.5,36.25,ex4.231_3half+,4.23961,0.021518,0.0461051,0.544816,0.00748929
35,37.5,36.25,ex4.841_1half+,4.93255,0.0162177,0.343862,0.695568,0.00831013
35,37.5,36.25,ex5.91_3half+,5.97539,0.0107419,0.905781,0.845998,0.00992474
35,37.5,36.25,ex6.30_5half+,6.35494,0.0135014,13.3301,0.85614,0.0125453
37.5,40,38.75,gs_3half+,0,0.0675745,0.111056,0.623601,0.0103973
37.5,40,38.75,ex_1half+_217,0.218,0.154657,0.160955,0.623601,0.0103973
37.5,40,38.75,ex_5half+_335,0.35,0.489299,0.198578,0.623601,0.0103973
37.5,40,38.75,ex3.661_NEW,3.68855,0.0230464,0.183092,0.490062,0.0071248
37.5,40,38.75,ex4.231_3half+,4.23961,0.0169696,0.952173,0.652642,0.00783666
37.5,40,38.75,ex4.841_1half+,4.93255,0.0123888,1.96451,0.860184,0.00927618
37.5,40,38.75,ex5.91_3half+,5.97539,0.00963759,2.56539,0.890787,0.0099129
37.5,40,38.75,ex6.30_5half+,6.35494,0.0122015,33.1265,0.894965,0.012516
